model,question_var,persona_k,valid_answers,total_personas,jsd
llama,op4trust,2,2660,2660,0.538193885946273
llama,tr3cgmnz,2,2660,2660,0.600348096900599
llama,tr3bcraz,2,2660,2660,0.4896971473578947
llama,qfnrincr,2,2660,2660,0.0917945765345007
llama,q4samesm,2,2660,2660,0.461675033844947
llama,op7gdevo,2,2660,2660,0.4982357614043965
llama,q7wwhhx,2,2660,2660,0.6725865771146597
llama,q7jbmmcc,2,2660,2660,0.6603457300527491
llama,q7mgcc,2,2660,2660,0.5407651386562354
llama,q5gveqaa,2,2660,2660,0.562148114927955
llama,opincdif,2,2660,2660,0.5478370631681576
llama,opnucpol,2,2660,2660,0.2432813947467482
llama,stalllf,2,2660,2660,0.3749289447091476
llama,nofutr,2,2660,2660,0.5723376758342512
llama,sfmhdprs,2,2660,2660,0.5661363026005479
llama,op5happz,2,2660,2660,0.541019851116196
llama,opnbmtcn,2,2660,2660,0.3613296541065169
llama,wllive,2,2660,2660,0.3121258190066142
llama,mempltgp,2,2660,2660,0.0867439375246128
llama,op4trust,16,50,50,0.4959834067541293
llama,tr3cgmnz,16,45,50,0.251583511610868
llama,tr3bcraz,16,45,50,0.2653204571390799
llama,qfnrincr,16,50,50,0.0226815308044771
llama,q4samesm,16,29,50,0.3239830931749017
llama,op7gdevo,16,41,50,0.2457103876843837
llama,q7wwhhx,16,45,50,0.4340795680780606
llama,q7jbmmcc,16,44,50,0.6914600230316633
llama,q7mgcc,16,49,50,0.5889522087021263
llama,q5gveqaa,16,47,50,0.2786046806003145
llama,opincdif,16,46,50,0.2557904392112793
llama,opnucpol,16,43,50,0.445147504015141
llama,stalllf,16,42,50,0.2744994027539637
llama,nofutr,16,46,50,0.2245452743866657
llama,sfmhdprs,16,48,50,0.2118453393327505
llama,op5happz,16,48,50,0.2007873702291209
llama,opnbmtcn,16,47,50,0.2246271141781168
llama,wllive,16,49,50,0.1767908434039622
llama,mempltgp,16,50,50,0.0867439375246128
llama,op4trust,8,50,50,0.5106862951863702
llama,tr3cgmnz,8,44,50,0.17812182438923874
llama,tr3bcraz,8,42,50,0.34244296138663866
llama,qfnrincr,8,50,50,0.008305469558467431
llama,q4samesm,8,33,50,0.2986711471563321
llama,op7gdevo,8,42,50,0.253926206979235
llama,q7wwhhx,8,44,50,0.39224852892025025
llama,q7jbmmcc,8,44,50,0.5944056477674601
llama,q7mgcc,8,48,50,0.511767205047282
llama,q5gveqaa,8,48,50,0.3239916476635531
llama,opincdif,8,46,50,0.34426813404971
llama,opnucpol,8,43,50,0.3992502177301995
llama,stalllf,8,45,50,0.3544019956692706
llama,nofutr,8,46,50,0.25361578956713277
llama,sfmhdprs,8,49,50,0.28859919477042223
llama,op5happz,8,50,50,0.32361801968680165
llama,opnbmtcn,8,49,50,0.30650183110329676
llama,wllive,8,50,50,0.2765635372278647
llama,mempltgp,8,50,50,0.003822993829225944
