,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
0,2,2,2,2,2,6,6,6,6,2,4,4,2,4,2,2,2,2,2
1,2,2,2,2,2,5,6,6,5,2,4,4,2,4,2,2,2,2,2
2,2,2,2,2,2,6,6,6,6,2,4,4,2,4,2,2,2,2,2
3,2,2,2,2,2,6,6,6,6,2,4,4,2,4,3,2,2,2,2
4,2,2,2,2,2,6,6,6,6,2,4,4,2,4,2,2,2,2,2
5,1,2,2,2,2,5,6,6,5,2,4,3,2,4,3,2,2,2,2
6,2,2,2,2,2,6,6,6,6,2,4,4,2,4,3,2,2,2,2
7,2,2,2,2,2,6,6,6,6,2,4,4,2,4,2,2,2,2,2
8,2,2,2,1,2,5,6,6,5,2,4,4,4,4,3,2,3,2,2
9,2,2,2,2,2,5,6,6,6,2,4,4,2,4,3,2,3,2,2
10,2,2,2,2,2,5,5,5,5,2,4,4,2,4,2,2,2,2,2
11,1,2,2,2,2,6,6,6,6,2,4,2,2,4,2,2,2,2,2
12,2,2,2,2,2,5,6,6,5,2,4,4,3,4,3,2,2,2,2
13,1,2,2,1,2,5,6,6,5,2,4,2,2,4,2,2,2,2,2
14,2,2,2,2,2,5,6,6,5,2,2,3,2,4,3,2,2,2,2
15,2,2,2,2,2,6,6,6,6,2,2,2,2,3,3,2,2,2,2
16,1,2,2,1,2,5,6,6,5,2,4,2,2,4,2,2,2,2,2
17,2,2,2,1,2,5,6,6,5,2,4,2,2,4,2,2,2,2,2
18,2,2,2,2,2,5,6,6,5,2,2,3,2,4,2,2,2,2,2
19,2,2,2,2,2,5,6,6,6,2,4,3,2,4,3,2,2,2,2
20,1,2,2,1,2,5,6,6,5,2,4,3,2,4,3,2,3,3,2
21,2,2,2,2,2,6,6,6,6,2,2,2,2,4,2,2,2,2,2
22,2,2,2,2,2,5,5,5,5,2,4,4,2,4,2,2,2,2,2
23,2,2,2,2,2,5,6,6,5,2,4,4,2,4,2,2,2,2,2
24,1,2,2,1,2,5,6,6,5,2,4,3,2,4,3,2,2,1,2
25,2,2,2,2,2,6,6,6,6,2,4,4,2,4,2,2,2,2,2
26,2,2,2,2,2,5,6,6,5,2,4,4,2,4,2,2,2,2,2
27,2,2,2,2,2,5,6,6,6,2,4,4,2,4,2,2,2,2,2
28,2,2,2,2,2,5,6,6,6,2,4,3,3,4,3,2,2,2,2
29,2,2,2,2,2,5,6,6,5,2,3,3,2,4,3,2,2,2,2
30,2,2,2,2,2,5,6,6,5,2,4,3,2,4,3,2,2,2,2
31,2,2,2,2,2,6,6,6,6,2,4,4,2,4,3,2,3,2,2
32,1,2,2,1,2,5,6,6,6,2,4,2,2,4,3,2,2,2,2
33,1,2,2,1,1,5,5,5,5,2,4,4,4,4,2,2,2,1,2
34,1,2,2,1,1,5,6,6,5,2,4,3,3,4,3,2,3,1,2
35,2,2,2,2,2,5,6,6,6,2,3,3,2,4,3,2,3,2,2
36,2,2,2,2,2,5,6,6,5,2,4,3,2,4,3,2,2,2,2
37,2,2,2,1,2,5,6,6,5,2,4,3,2,4,2,2,2,2,2
38,2,2,2,1,2,5,6,6,5,2,4,3,3,4,3,2,3,3,2
39,1,2,2,1,2,5,6,6,6,2,4,3,3,4,3,2,3,2,2
40,2,2,2,1,2,5,6,6,5,2,4,4,2,4,3,2,3,2,2
41,2,2,2,2,2,5,6,6,2,2,2,2,2,2,2,2,2,2,2
42,1,2,2,1,2,5,6,6,5,2,4,4,2,4,2,2,3,2,2
43,2,2,2,2,2,5,6,6,6,2,4,4,2,4,2,2,2,2,2
44,2,2,2,2,2,5,6,6,5,2,4,4,2,4,3,2,4,2,2
45,2,2,2,2,2,5,6,6,5,2,3,4,2,4,3,2,3,2,2
46,2,2,2,2,2,5,6,6,5,2,4,3,2,4,2,2,2,2,2
47,1,2,2,1,2,5,6,6,5,2,4,3,3,4,2,2,3,3,2
48,2,2,2,2,2,5,6,6,5,2,4,4,2,4,2,2,2,2,2
49,1,2,2,1,2,5,6,6,5,2,4,3,3,4,3,2,2,1,2
50,2,2,2,2,2,6,6,6,2,2,2,2,2,4,2,2,2,2,2
51,1,2,2,1,2,5,6,6,5,2,4,4,4,4,3,2,3,3,2
52,2,2,2,1,2,5,6,6,5,2,2,2,2,4,2,2,2,2,2
53,1,2,2,2,2,5,6,6,5,2,4,3,2,4,2,2,3,3,2
54,2,2,2,2,2,5,6,6,5,2,4,2,2,4,3,2,2,2,2
55,2,2,2,2,2,5,6,6,5,2,4,4,2,4,2,2,2,2,2
56,1,2,2,1,2,5,6,6,6,2,4,3,2,4,3,2,2,2,2
57,1,2,2,2,2,5,6,6,6,2,4,2,2,4,2,2,2,2,2
58,2,2,2,2,2,5,6,6,5,2,4,3,3,4,3,2,3,2,2
59,2,2,2,2,2,5,6,6,5,2,2,2,2,4,2,2,2,2,2
60,1,2,2,1,2,5,6,6,5,2,4,4,2,4,2,2,2,1,2
61,2,2,2,2,2,6,6,6,6,2,4,2,2,4,2,2,2,2,2
62,1,2,2,1,2,5,6,6,5,2,4,3,3,4,3,2,3,3,2
