variable,importance_score,label,valid_rate
xxfstjb,2.437507088717891,Occupation of the First Job,0.9721804511278196
ppjxxe08,2.307430620479299,Occupation of Father at Age 15 (ISCO08),0.9161654135338346
age1mg,1.6456910632423098,Age at First Marriage,0.8240601503759398
incmain,1.4264368749269407,Main Income Source,0.9973684210526316
szstffst,1.18945436117279,Corporation Size of the First Job,0.9078947368421053
szhsincm,1.1332851338936414,Household Annual Income,0.91203007518797
ssszinca,1.09990834072885,Spouse Annual Income: Overall,0.9466165413533835
domarry,1.029695584360883,Marital Status,1.0
szexed,1.0087816485730021,Educational Costs in Household Expenses,0.9454887218045113
st5ssrel,0.8255703911152378,Satisfaction with Relationship with Spouse,0.9947368421052631
hrtv,0.7796458096099178,Hours of Watching TV,0.9887218045112782
szffonly,0.7564486904392083,Number of Family Members Except Respondent,0.9988721804511278
szincomx,0.6714412953667023,Respondent Annual Income: Main Job,0.9454887218045113
szffttl,0.6682875875025684,Number of Family Members Including Respondent,0.9973684210526316
ssszincm,0.615802183302395,Spouse Annual Income: Main Job,0.9541353383458646
xmarry,0.5571010948158509,Marital Status,1.0
pmdth,0.5060845371193499,Presence of Parents,0.9981203007518797
dopnone,0.49655261770873055,Having Pets: No Pets,0.9984962406015038
ffhead,0.47110678987934246,Head of the Household,0.9992481203007518
doecnone,0.470307110310645,Use of Eco-products: None of the above,0.9898496240601504
incpen,0.44538249078959125,Income Source: Pension,0.9992481203007518
opismm,0.4292405532041915,View on Assistance between Generations: From Married Man to His Own Parent,0.9766917293233083
enhmwp,0.4174236532971974,Environmental Damage: Water Pollution,0.9898496240601504
opismwss,0.41516734216844786,View on Assistance between Generations: From Married Woman to Husbands Parent,0.974812030075188
opismw,0.4133036553770266,View on Assistance between Generations: From Married Woman to Her Own Parent,0.975187969924812
cc01lvt,0.41123766363347,Child 01: Living with/separately/temporarily leaving home,0.7556390977443609
enhmsp,0.3821675710427776,Environmental Damage: Soil Pollution,0.9902255639097745
opismmss,0.36154787740663963,View on Assistance between Generations: From Married Man to Wife's Parent,0.975187969924812
fq7ckdnr,0.33126725485490316,Frequency of Preparing Dinner,0.9954887218045113
cc01mg,0.33087076662097364,Child 01: Marital Status,0.7545112781954887
ppjbsz15,0.3266850921529282,Corporation Size of Father at Age 15,0.9097744360902256
xnumcowk,0.3254251153427049,Number of Companies You Worked for,0.9763157894736842
tr3copz,0.3244229222497998,Trust in Police,0.9936090225563909
q7ffndmn,0.3078969617229036,Norms of Family Inheritance: Requirement of Son,0.9921052631578947
doecmnp,0.306356592221675,Use of Eco-products: Midnight Power,0.9898496240601504
st5ecny,0.3020603062485489,Satisfaction with Household Budget Situation,0.9921052631578947
tr3spcaz,0.3014855138640245,Trust in Courts,0.9932330827067669
enhmap,0.29324868149307237,Environmental Damage: Air Pollution,0.9906015037593985
fq7wash,0.2889640656859677,Frequency of Doing Laundry,0.9947368421052631
st5lifey,0.2884553238249833,Satisfaction with Family Life,0.9932330827067669
fq7clean,0.2870945326697198,Frequency of Cleaning House,0.9966165413533835
pplstsch,0.2809107529474482,Last School Father Attended,0.7725563909774437
st5hlthy,0.2772894414021597,Satisfaction with Health Condition,0.9939849624060151
tr3finz,0.2758941108974262,Trust in Financial Institutions,0.9932330827067669
tr3schlz,0.2727236933705673,Trust in Schools,0.9913533834586467
xhsrate,0.270349732617251,Rate of Students Going on to Higher Schools from High School,0.8511278195488722
st5leisy,0.2683407812519165,Satisfaction with Leisure Activities,0.9894736842105263
q7mgmnhp,0.26812236283662977,Norms of Marriage: Marriage Is Happy for Men,0.9917293233082707
dopdogi,0.25808786482110313,Having Pets: Dogs (Indoor),0.9984962406015038
q7mgwnhp,0.25620954761048265,Norms of Marriage: Marriage Is Happy for Women,0.9894736842105263
q7prman,0.24390185814409576,Norms of Placing Priority on Family: Precedence of Husbands Family Over Wifes,0.9909774436090225
tr3acdaz,0.24346582405242614,Trust in Scholars,0.9928571428571429
tr3defz,0.24308092865306524,Trust in Self-Defense Forces,0.9921052631578947
fqfflsr,0.2360076890480843,Frequency of Leisure Activities with Family,0.9676691729323308
mmjbtp15,0.23066489790933925,Mother Work at Age 15,0.9706766917293234
doecwc,0.2278318154238527,Use of Eco-products: Ecowill/Ecocute,0.9898496240601504
fq6nwsin,0.22766111318060636,Frequency of Reading News Articles on the Internet,0.9962406015037594
q7wwhphh,0.2236691646722028,Norms of Gender: Wife Should Help Husband,0.9921052631578947
q7ffauth,0.21306867442807909,Norms of Family Inheritance: Respect of Fathers Authority,0.9928571428571429
st5friy,0.20963113494842714,Satisfaction with Friendship,0.9917293233082707
tr3nwspz,0.20946636652802597,Trust in Newspapers,0.9932330827067669
q7mgcoh,0.20862126565759964,Norms of Marriage: Don't Mind Cohabitation,0.9932330827067669
q7ffhnr,0.20190113914198016,Norms of Family Inheritance: Children Should Be Honor to Their Parent,0.9932330827067669
tr3tvz,0.1986373983906924,Trust in TV,0.9939849624060151
tp5loc15,0.19802640232090135,Place of Residence at Age 15: Size of Municipality,1.0
op5ccare,0.19097131710494178,Responsibility of Child Care,0.9714285714285714
dorl,0.19070908687102267,Practice Religion,0.9921052631578947
incself,0.18697791221241875,Income Source: Respondent Income,0.9992481203007518
st5areay,0.18661419777973776,Satisfaction with Area of Residence,0.9887218045112782
op10lvl,0.1842298679317247,Position in the Society in 10 Level,0.9672932330827068
op5srwfy,0.18283579453813675,Responsibility of Livelihood Security for Elderly,0.9774436090225563
op5ffinx,0.18272424603041235,Comparison of Household Income with Others,0.9917293233082707
tr3hsplz,0.18270718444798034,Trust in Hospitals,0.9924812030075187
op5cced,0.18054500508986968,Responsibility of Education,0.9721804511278196
op5srmdy,0.17997429232274703,Responsibility of Care for Elderly,0.9763157894736842
cc01job,0.17883978720264504,Child 01: Working Now,0.7530075187969925
q7mgold,0.17702327415825705,Norms of Marriage: Husband Should Be Older,0.9932330827067669
q7mgdvcc,0.17668806939577117,Norms of Marriage: Wait to Divorce until Children Growing Up,0.9936090225563909
inflpmmg,0.16800356022593363,Parents Influence on Decision to Marry,0.7733082706766917
op5hlthz,0.16753467059831006,Health Condition,0.9883458646616541
ppjb15,0.16691292641310146,Employment Relationship of Father at Age 15,0.9992481203007518
incsp,0.16672438893394784,Income Source: Spouse Income,0.9992481203007518
xcc18,0.1650280841997683,Presence of Children Aged 18 or Older,0.8360902255639098
tr3rlgpz,0.16070013590726634,Trust in Religious Organizations,0.9936090225563909
dopcati,0.1600233218265129,Having Pets: Cats (Indoor),0.9984962406015038
xliveyr,0.15435024244677473,Years Living in the Same Place,0.9823308270676692
domarryz,0.14586778698697278,Marital Status (Self-administered Questionnaire),0.837593984962406
sizehmt,0.14434813320182036,Size of Hometown,1.0
doeclmc,0.1426439195366303,Use of Eco-products: Low-emission Car,0.9898496240601504
disflood,0.14033354472408544,Possibility of Natural Disaster: Flood from High Tide and River Overflow,0.9939849624060151
axdis,0.1375578409149234,Anxiety about Natural Disaster,0.9966165413533835
tr3cityz,0.13445473150056272,Trust in Members of Municipal Councils,0.9906015037593985
