,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,2,4,2,2,4,5,6,5,1,1,3,2,3,3,3,3,4,1,2
51,4,3,3,2,4,4,4,3,1,3,2,2,2,5,4,1,3,1,2
58,3,3,3,2,3,3,4,4,4,3,6,2,3,3,5,3,4,2,2
78,2,2,2,2,4,3,4,1,1,1,1,2,4,3,5,3,3,1,2
88,3,3,2,2,2,5,6,6,5,1,1,2,3,3,5,2,3,1,2
93,3,3,3,2,1,3,5,3,1,3,1,2,5,3,5,5,3,1,2
107,2,2,3,2,2,4,4,3,1,3,2,4,3,3,4,5,3,1,2
110,1,3,2,1,3,7,4,4,1,3,1,2,3,2,3,3,3,1,2
148,3,3,2,1,4,4,4,3,1,1,3,3,3,4,3,3,2,1,2
155,2,3,3,2,1,4,1,5,1,1,1,2,3,3,5,1,3,1,2
165,1,3,3,2,4,1,6,1,1,1,1,2,1,5,5,1,3,1,2
188,2,3,2,2,4,6,4,4,5,2,1,1,3,3,4,4,3,4,2
199,4,3,3,2,4,3,7,1,2,5,2,4,2,3,5,2,5,2,2
206,2,3,3,1,2,7,7,6,1,3,2,2,3,3,5,1,3,3,2
213,1,3,3,2,4,7,4,5,1,3,1,2,3,3,3,2,4,2,2
222,3,2,3,2,3,6,4,6,1,1,1,2,1,3,5,1,2,2,2
223,2,2,2,2,4,4,7,5,2,2,1,2,3,3,5,2,3,1,2
226,3,1,2,2,1,6,1,5,1,3,1,2,4,3,5,5,3,2,2
227,3,3,2,2,3,4,1,4,1,3,1,2,1,3,4,1,3,1,2
228,2,3,3,2,3,3,4,4,2,1,1,1,2,5,5,2,3,1,2
231,1,4,2,2,4,4,6,4,1,1,1,2,1,3,5,1,3,1,2
241,3,3,2,2,4,6,6,5,1,3,1,2,3,3,3,2,3,1,2
249,1,3,2,1,4,3,4,6,1,2,4,2,2,4,5,2,3,2,2
251,3,3,3,2,1,7,7,4,1,3,5,4,1,1,5,1,4,1,2
272,3,3,3,2,2,7,4,4,6,3,1,5,2,3,3,2,4,2,2
274,2,3,2,2,3,6,6,5,1,2,4,2,1,3,5,2,4,3,2
287,3,3,3,1,4,4,6,6,1,3,2,1,3,3,4,2,2,1,2
305,1,3,3,2,4,4,2,4,1,3,1,2,2,3,5,2,3,1,2
309,3,3,3,1,3,4,6,4,1,1,1,4,1,3,5,1,1,1,2
320,1,3,2,1,2,6,5,4,1,5,1,4,3,3,5,1,3,1,2
322,4,3,3,1,3,5,4,4,1,1,2,2,3,5,5,3,3,2,2
333,1,3,3,2,2,7,4,5,1,2,3,2,1,5,5,1,4,1,2
348,3,3,3,2,4,5,6,6,1,1,1,1,5,5,5,2,3,2,2
351,3,3,2,2,3,4,5,6,1,1,1,2,3,3,5,4,2,1,2
369,1,2,1,2,4,4,1,2,1,1,1,1,1,3,4,1,4,1,2
378,1,3,3,2,4,6,6,2,1,3,1,2,2,4,5,2,4,1,2
382,2,3,2,2,2,4,4,6,1,2,4,2,2,5,5,1,3,1,2
392,3,3,3,2,4,4,6,6,4,3,1,2,5,1,3,5,4,1,2
398,2,3,2,2,4,4,5,4,4,5,1,1,1,5,5,2,2,1,2
402,1,3,3,2,3,3,4,4,1,1,1,2,1,5,5,1,4,1,2
414,1,2,2,2,4,5,6,6,1,1,1,2,2,3,5,2,4,1,2
427,3,3,3,2,4,5,7,4,1,3,3,2,5,5,5,2,3,2,2
428,1,4,4,2,1,2,5,4,2,2,4,4,5,3,5,2,4,1,2
441,2,3,3,1,2,6,4,6,5,3,1,2,5,3,5,5,3,1,2
453,1,3,3,2,4,5,2,6,1,2,5,2,2,3,5,2,4,3,2
463,2,3,2,2,2,5,2,3,1,1,1,2,3,3,5,2,2,1,2
464,3,2,2,2,3,3,6,3,3,3,6,2,3,3,3,5,4,3,2
467,1,2,2,1,3,4,4,5,1,2,1,4,1,3,5,1,3,3,2
474,4,3,2,2,3,5,6,5,1,1,2,2,1,3,3,1,3,2,2
476,1,3,3,1,3,4,4,1,1,3,5,1,1,3,5,1,3,2,2
484,1,2,2,1,1,4,7,6,1,1,3,2,1,3,5,1,3,1,2
498,1,4,2,2,2,5,1,1,1,1,2,2,1,3,5,1,3,1,2
529,1,2,3,2,3,4,4,4,1,2,4,2,3,3,3,3,3,1,2
544,3,3,3,2,2,7,4,4,1,2,1,2,4,5,4,4,3,2,2
551,1,2,3,1,2,3,1,7,1,1,3,2,1,3,4,1,4,1,2
560,3,3,3,1,2,5,6,4,4,1,1,2,3,3,5,5,1,1,2
594,3,2,2,2,4,2,7,4,4,3,1,1,3,5,4,5,3,2,2
596,1,2,3,2,1,7,1,1,1,3,1,2,1,1,5,1,1,1,2
616,1,3,2,2,1,6,6,2,1,1,1,4,3,3,5,1,3,2,2
673,2,1,3,2,4,7,7,6,1,3,1,2,1,3,5,1,4,1,2
680,1,3,3,2,2,3,4,6,1,1,2,2,1,3,5,1,5,1,2
685,3,3,4,2,4,4,5,4,1,2,1,2,1,3,5,3,4,1,2
691,1,3,3,2,3,4,4,6,1,3,1,2,3,2,5,3,4,3,2
694,2,3,2,2,4,3,5,6,1,5,5,2,3,3,4,3,4,2,2
701,4,3,2,2,4,6,6,6,1,5,1,2,2,3,5,3,4,1,2
710,1,3,2,2,2,4,7,7,1,2,1,2,2,4,5,2,5,1,2
716,4,3,3,2,4,7,6,6,1,3,4,4,1,3,4,1,2,1,2
717,3,2,3,1,4,6,4,2,1,3,6,2,3,3,5,2,4,2,2
748,1,3,2,1,2,4,3,5,1,3,1,2,3,3,5,2,2,1,2
768,1,3,3,2,3,4,6,4,1,2,5,2,1,2,5,1,5,2,2
775,1,3,2,1,2,4,3,4,1,2,3,2,3,3,5,1,4,1,2
779,1,2,1,1,2,6,2,6,1,1,1,2,1,3,5,1,3,1,2
797,2,3,3,2,1,4,4,1,1,2,1,2,2,3,5,2,4,2,2
801,2,3,3,2,2,4,3,6,1,1,1,2,3,3,3,2,3,2,2
812,2,3,1,2,2,6,6,1,1,3,4,2,5,3,4,1,5,1,2
815,2,3,3,2,4,6,1,5,1,3,2,2,3,3,5,3,2,2,2
822,3,3,2,2,2,4,7,5,1,1,3,2,3,3,3,2,3,2,2
856,1,3,3,2,1,5,7,4,1,5,4,5,1,4,4,1,3,1,2
864,3,3,3,2,4,3,6,6,1,2,1,2,2,2,5,2,3,1,2
873,3,3,2,2,4,5,6,4,4,3,3,2,2,3,5,2,4,1,2
878,1,3,2,1,4,3,6,6,1,3,1,2,3,5,5,3,5,3,2
880,2,3,3,2,3,4,1,4,1,5,1,2,3,1,4,1,3,2,2
887,3,3,3,2,4,5,6,4,1,2,3,2,2,3,5,2,3,3,2
890,2,3,2,2,4,5,5,4,4,2,4,2,4,3,5,4,3,3,2
895,1,2,2,1,2,6,4,7,3,1,1,1,5,3,5,3,3,1,2
900,1,3,3,2,1,5,4,7,1,3,3,5,5,3,5,2,3,1,2
912,2,4,2,1,4,4,4,7,1,2,4,2,3,2,5,3,4,4,2
936,1,3,2,2,4,4,6,6,1,3,1,2,2,3,5,2,5,1,2
950,2,1,2,2,2,5,6,3,1,2,1,2,2,3,3,2,3,2,2
964,2,3,1,1,1,3,2,6,1,1,1,2,1,3,3,1,4,1,2
974,3,3,3,2,4,6,4,4,1,3,1,2,2,2,5,2,3,2,2
983,1,2,2,1,2,5,1,5,5,3,1,2,3,3,5,1,4,1,2
1010,3,3,3,2,3,2,5,5,3,3,1,2,3,3,3,2,3,2,2
1036,3,4,2,2,4,4,6,1,1,3,1,2,3,5,5,2,2,2,2
1038,1,3,3,1,4,5,5,4,1,2,3,2,3,3,5,3,3,1,2
1039,1,3,3,2,4,4,6,4,1,1,1,2,1,3,5,1,1,2,2
1046,2,2,3,2,4,3,6,6,5,3,3,2,2,4,3,5,4,1,2
1052,2,3,2,1,1,6,1,3,1,1,3,2,1,5,5,1,1,2,2
1069,1,2,2,2,2,5,3,4,3,4,4,2,3,4,5,2,5,1,2
1074,3,3,2,2,4,2,1,3,1,3,1,2,3,3,3,2,3,3,2
1081,3,3,2,2,1,5,4,6,1,1,1,4,1,5,5,1,1,1,2
1082,2,3,3,2,2,3,6,6,1,3,2,2,3,5,3,3,4,2,2
1087,2,3,3,1,4,4,5,6,1,3,4,1,2,3,4,1,3,2,2
1092,2,2,3,1,2,4,4,6,1,2,6,3,2,3,5,2,3,1,2
1098,4,3,3,2,2,5,6,3,1,3,2,2,3,3,5,2,5,1,2
1105,2,3,2,1,1,5,6,1,2,1,4,2,2,3,5,1,3,1,2
1106,1,3,2,1,2,3,1,4,1,1,1,2,3,1,5,1,3,1,2
1107,1,3,3,2,3,6,6,6,1,4,4,5,3,3,5,1,2,3,2
1137,3,2,2,1,2,5,3,1,1,2,1,4,2,5,5,1,4,2,2
1142,1,2,3,2,4,4,7,5,1,3,1,2,3,3,5,2,4,2,2
1150,1,3,3,2,3,5,5,1,1,1,1,1,3,2,4,3,2,1,2
1151,2,3,3,2,3,3,6,6,1,1,1,2,3,3,5,5,3,3,2
1156,2,4,2,2,1,4,4,4,6,3,1,2,5,1,5,2,3,2,2
1168,2,3,2,2,1,4,6,3,1,2,1,2,2,3,5,2,3,2,2
1171,3,3,1,1,3,5,6,1,1,1,1,2,1,3,3,1,4,1,2
1174,1,3,2,2,3,5,6,1,1,2,1,2,5,3,5,1,3,1,2
1180,2,2,1,2,3,4,6,3,1,2,1,2,3,3,5,3,3,1,2
1186,4,3,3,2,4,4,5,4,1,2,1,1,1,5,5,1,3,1,2
1187,3,3,2,1,2,5,4,4,1,1,5,2,2,3,5,1,2,2,2
1188,4,4,3,2,4,2,1,5,1,1,2,4,5,5,5,3,1,1,2
1192,1,1,2,2,4,7,1,6,1,3,1,2,1,3,5,1,3,1,2
1208,3,3,2,2,4,3,6,5,1,5,1,2,2,5,5,3,4,2,2
1215,2,3,3,1,4,6,4,4,1,3,2,1,2,3,5,2,2,1,2
1219,1,2,3,2,3,5,5,5,1,3,4,2,2,3,4,1,3,1,2
1237,1,3,3,2,4,4,3,7,1,1,1,1,1,3,3,1,1,3,2
1266,3,3,4,2,3,4,6,5,2,3,4,2,4,3,5,2,3,1,2
1268,1,3,2,2,1,4,4,4,1,1,3,2,1,3,5,1,3,1,2
1278,4,3,2,1,4,5,4,7,1,3,3,2,3,3,5,4,3,2,2
1281,2,3,2,2,4,6,3,5,2,3,1,2,3,3,5,2,3,2,2
1285,1,2,2,1,3,4,1,7,1,1,1,1,1,5,5,1,4,1,2
1289,1,3,2,2,4,3,6,6,1,1,1,2,3,5,5,3,2,2,2
1295,3,2,3,2,4,4,6,1,1,3,3,2,2,5,5,4,4,1,2
1307,2,3,2,1,4,5,1,6,1,2,2,2,1,3,5,2,4,2,2
1321,1,3,3,2,4,4,6,4,1,1,3,2,1,5,3,1,4,2,2
1339,1,3,2,2,2,3,6,3,4,3,1,2,3,4,4,1,3,1,2
