,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,4,3,2,1,4,6,6,4,1,1,4,2,3,4,4,1,2,2,2
51,4,4,2,2,4,3,6,6,1,1,1,2,3,4,3,1,3,1,2
58,2,3,3,1,4,5,6,7,4,2,4,4,2,4,5,1,2,1,2
78,2,3,2,1,1,7,4,4,2,1,4,2,3,3,4,1,2,2,2
88,3,3,4,2,4,6,6,5,4,1,3,2,3,4,3,2,3,1,2
93,2,3,4,2,4,5,6,6,4,3,4,4,2,3,3,3,3,1,2
107,3,3,3,2,2,5,7,6,1,1,4,2,3,1,5,2,3,3,2
110,3,3,2,2,2,7,4,4,2,1,4,4,3,3,3,1,3,1,2
148,2,4,2,1,1,4,6,4,2,1,1,2,3,3,4,1,3,3,2
155,2,3,4,2,4,7,6,4,4,2,4,2,3,2,3,1,3,2,2
165,3,3,2,2,2,6,4,6,4,1,5,2,3,4,3,1,4,1,2
188,2,3,2,2,2,6,4,6,4,1,4,2,3,3,4,1,2,3,2
199,4,3,4,2,2,7,4,4,1,2,4,2,3,3,3,1,3,2,2
206,3,3,3,2,4,6,6,6,1,3,4,2,3,3,3,2,3,2,2
213,2,4,2,2,4,6,6,6,2,1,4,4,3,3,4,1,3,2,2
222,2,3,2,2,2,5,6,3,1,1,4,2,3,3,3,1,2,1,2
223,2,3,3,2,3,7,6,6,1,1,3,3,3,2,3,5,3,3,2
226,4,3,2,2,3,4,6,4,3,1,6,2,2,3,3,1,2,1,2
227,2,3,3,2,4,5,6,6,1,3,6,4,2,3,3,1,3,1,2
228,2,3,3,2,2,5,6,6,1,1,5,2,2,5,4,1,1,1,2
231,2,4,2,2,1,7,4,4,2,1,4,4,3,3,4,1,1,2,2
241,2,3,2,2,4,6,6,1,1,1,5,2,3,3,3,2,3,1,2
249,2,2,3,1,1,5,6,7,1,1,4,2,3,4,3,1,2,1,2
251,3,3,2,2,2,7,6,4,1,1,4,4,3,5,3,4,1,2,2
272,3,4,3,2,4,5,6,6,1,1,4,2,3,4,3,5,3,3,2
274,2,3,2,1,3,6,7,4,1,1,6,2,3,5,3,1,3,2,2
287,2,2,2,2,4,5,6,1,1,1,4,4,3,3,5,1,3,1,2
305,3,4,4,2,2,6,4,4,1,2,5,2,3,3,3,1,1,1,2
309,2,3,3,2,4,7,4,6,1,1,3,2,3,4,3,1,3,2,2
320,3,3,3,1,4,5,4,7,1,2,1,2,3,3,4,2,3,1,2
322,2,3,2,1,1,6,4,6,2,1,5,2,3,3,3,1,4,2,2
333,2,4,3,2,2,7,6,4,1,1,4,2,3,3,3,1,3,2,2
348,3,3,3,2,4,6,4,4,5,2,4,2,3,3,5,2,3,1,2
351,2,3,3,2,4,7,6,4,1,1,1,2,2,3,4,1,2,1,2
369,3,4,3,2,4,5,7,6,2,1,4,2,3,3,4,1,3,2,2
378,2,3,3,2,3,5,6,4,2,1,5,2,2,3,5,1,3,2,2
382,2,3,3,2,2,7,7,5,2,1,2,4,2,3,4,2,1,3,2
392,2,3,3,2,4,2,4,6,1,2,6,2,2,3,3,1,3,2,2
398,2,3,2,2,4,4,6,1,1,1,6,2,3,3,3,3,2,1,2
402,1,3,2,2,2,4,7,6,1,2,3,2,2,3,4,1,3,1,2
414,2,3,2,2,3,4,6,6,6,3,4,2,3,4,5,2,2,2,2
427,3,3,3,2,4,4,6,6,4,1,6,4,3,3,3,4,3,2,2
428,3,4,3,2,4,4,6,4,4,3,4,2,2,4,5,2,3,1,2
441,2,3,3,2,1,6,1,4,4,3,1,2,3,3,3,4,3,2,2
453,2,3,2,2,2,5,4,4,1,1,4,2,3,3,4,3,3,2,2
463,2,2,2,1,2,6,6,4,1,1,4,2,3,3,5,1,3,3,2
464,3,4,3,2,3,5,6,5,1,1,4,2,3,4,5,1,1,1,2
467,2,3,2,2,4,6,4,6,1,1,1,2,2,3,4,1,2,1,2
474,2,3,4,2,4,4,5,4,1,1,4,2,2,4,3,2,3,1,2
476,2,3,2,2,4,6,4,4,1,1,4,2,2,5,3,1,2,4,2
484,2,3,3,2,2,4,5,6,2,1,1,2,2,3,3,1,2,2,2
498,2,4,2,2,1,5,7,6,2,1,4,2,3,3,4,1,2,1,2
529,2,3,2,2,4,4,4,5,5,1,1,2,3,4,3,1,3,2,2
544,2,3,3,2,2,6,4,7,1,1,4,2,2,4,5,1,2,1,2
551,1,3,2,2,1,6,6,6,2,1,5,2,3,3,3,1,2,2,2
560,2,3,2,2,1,6,5,4,4,1,4,2,3,1,4,1,3,1,2
594,2,3,2,2,2,6,4,4,1,1,4,2,2,4,3,1,1,1,2
596,3,3,3,2,4,6,1,6,1,1,1,2,4,4,3,1,3,1,2
616,2,3,3,2,4,7,4,4,1,1,4,2,2,3,4,1,3,2,2
673,2,3,3,2,2,7,4,4,1,1,4,2,2,4,3,2,2,1,2
680,3,3,2,2,1,5,7,4,1,1,4,2,3,3,3,2,3,2,2
685,3,3,1,2,4,4,6,6,1,1,4,2,3,2,5,4,1,2,2
691,3,3,3,2,3,5,4,4,1,1,3,4,2,3,4,4,2,1,2
