,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,3,3,2,2,2,3,4,4,4,3,4,2,3,3,3,3,3,2,2
51,2,2,2,2,3,4,5,4,3,3,3,2,2,3,3,1,3,2,2
58,3,3,3,2,3,3,5,4,4,3,4,2,3,3,3,3,3,2,2
78,2,2,2,2,3,3,4,4,3,2,3,3,3,3,3,3,3,2,2
88,2,3,2,2,3,3,4,5,4,3,3,2,3,3,3,3,3,2,2
93,3,3,2,2,3,3,4,4,4,3,3,2,3,3,5,2,3,2,2
107,2,3,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2
110,3,3,2,2,3,4,4,4,4,3,4,2,3,3,3,3,3,2,2
148,2,2,2,2,2,3,3,5,3,2,3,3,3,3,3,3,3,2,2
155,3,3,2,2,4,5,6,4,4,3,4,3,3,3,3,2,3,2,2
165,3,2,3,2,3,3,5,4,3,2,3,2,3,3,3,1,3,2,2
188,2,3,2,2,2,3,4,4,4,3,4,3,3,3,3,3,3,2,2
199,2,2,2,2,2,4,4,4,4,3,4,2,2,3,3,2,3,2,2
206,3,3,2,2,2,3,4,4,4,3,3,2,3,3,3,3,3,2,2
213,3,3,2,2,3,3,4,4,3,3,3,3,2,3,3,2,3,2,2
222,3,2,2,2,2,5,4,4,3,2,3,3,3,3,3,2,3,2,2
223,3,3,2,2,3,3,6,7,4,3,3,2,3,3,3,3,3,2,2
226,2,3,3,2,3,3,4,4,3,3,3,2,3,3,3,2,3,2,2
227,3,3,3,2,4,4,4,4,4,3,4,2,3,3,5,3,3,2,2
228,2,3,2,2,2,3,4,4,3,3,4,3,2,3,3,3,3,2,2
231,2,3,2,2,3,5,4,7,4,3,4,4,3,3,3,1,3,2,2
241,3,3,3,2,3,3,4,4,4,3,4,3,3,3,3,3,3,2,2
249,3,3,3,2,3,3,5,7,5,3,4,2,2,3,3,2,3,2,2
251,2,3,2,2,4,3,4,4,4,3,4,2,3,3,5,3,3,2,2
272,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,2,2
274,2,3,2,2,2,5,4,4,4,3,3,3,2,3,3,2,2,2,2
287,3,3,2,2,3,4,5,4,4,3,3,2,3,3,3,2,3,2,2
305,3,3,2,2,2,4,5,4,3,2,3,3,2,3,3,2,3,2,2
309,3,3,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,2,2
320,3,3,3,2,3,5,4,4,4,3,4,3,3,3,3,3,3,2,2
322,3,3,2,2,2,3,5,5,3,3,3,2,3,3,3,3,3,2,2
333,2,3,3,2,3,4,4,4,4,3,4,3,2,3,3,2,3,2,2
348,3,3,3,2,4,3,4,4,4,3,4,3,3,3,5,3,3,2,2
351,2,3,2,2,2,3,4,4,3,2,3,3,4,3,3,3,3,2,2
369,2,2,3,2,3,4,4,4,4,3,4,2,3,3,3,2,3,2,2
378,3,2,2,2,4,3,4,4,4,3,3,3,2,3,3,2,3,2,2
382,2,3,2,2,2,3,4,4,4,3,4,3,2,3,3,1,3,2,2
392,3,3,3,2,3,3,4,4,4,3,4,2,3,3,4,3,3,2,2
398,2,3,3,2,4,3,7,7,4,3,4,2,2,3,5,2,3,2,2
402,2,3,2,2,2,5,7,4,3,3,4,3,3,3,3,1,3,2,2
414,3,3,3,2,3,3,7,4,4,2,3,3,3,3,3,3,3,2,2
427,2,3,3,2,3,3,4,4,4,3,4,3,3,3,3,3,3,2,2
428,3,4,4,2,4,3,7,7,4,3,4,2,3,3,5,3,3,2,2
441,3,3,3,2,3,3,7,4,4,3,3,2,3,3,3,3,3,2,2
453,2,3,2,2,4,3,4,7,4,3,4,2,2,3,3,2,3,2,2
463,2,2,2,2,2,5,4,5,3,2,3,3,3,3,3,2,3,2,2
464,3,3,3,2,3,5,5,4,4,3,4,3,5,3,3,5,3,2,2
467,2,2,2,2,3,5,4,4,4,3,4,3,3,3,3,1,3,2,2
474,2,3,2,2,4,4,4,4,4,3,4,2,3,3,3,1,3,2,2
476,3,4,2,2,3,5,6,4,2,3,3,3,2,3,4,1,2,2,2
484,2,2,2,2,1,5,4,7,2,2,3,3,2,3,3,1,3,2,2
498,2,3,2,2,3,4,5,4,3,3,3,2,3,3,3,3,3,2,2
529,3,2,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2
544,2,3,2,2,3,4,4,7,4,3,4,3,4,3,3,4,3,2,2
551,3,2,2,2,2,3,4,4,4,3,4,2,3,3,3,1,3,2,2
560,3,3,2,2,2,5,4,4,4,3,4,2,3,3,3,3,3,2,2
594,3,3,3,2,4,3,7,7,4,3,4,3,3,3,3,3,3,2,2
596,3,3,3,2,4,3,4,7,4,3,4,2,3,3,5,1,3,2,2
616,2,3,3,2,2,5,4,4,4,3,4,2,3,3,3,1,3,2,2
673,3,2,2,2,2,5,4,4,4,3,3,2,2,3,3,1,3,2,2
680,2,3,2,2,2,5,4,4,4,3,4,3,3,3,3,3,3,2,2
685,3,3,3,2,4,3,4,4,4,3,4,3,3,3,3,3,3,2,2
691,3,3,3,2,3,3,7,5,3,3,4,3,3,3,3,3,3,2,2
694,3,3,2,2,3,3,4,4,4,3,4,4,3,3,3,3,3,2,2
701,2,3,2,2,4,3,7,6,3,3,4,2,2,3,3,2,3,2,2
710,3,3,3,2,3,5,4,4,3,3,4,3,2,3,5,2,3,2,2
716,2,4,2,2,2,3,4,4,4,3,4,3,1,3,3,1,3,2,2
717,2,3,2,2,4,3,4,7,4,3,4,2,3,3,3,2,3,2,2
748,2,2,2,2,3,3,4,4,3,3,4,3,2,3,3,2,3,2,2
768,2,2,2,2,3,4,4,4,3,3,3,4,2,3,3,1,3,2,2
775,3,3,2,2,3,4,7,4,4,3,2,2,3,3,3,3,3,2,2
779,2,3,2,2,3,5,4,4,4,3,4,2,2,3,3,3,3,2,2
797,2,2,2,2,4,5,6,4,3,2,2,3,2,3,3,2,3,2,2
801,2,3,2,2,3,3,4,4,4,3,4,2,3,3,3,3,3,2,2
812,3,3,2,2,3,3,4,4,4,3,4,3,3,3,5,3,3,2,2
815,2,3,3,2,3,3,4,7,4,3,4,3,3,3,3,3,3,2,2
822,3,3,3,2,3,3,4,4,4,3,4,3,3,3,3,2,3,2,2
856,2,3,2,2,3,4,4,4,4,3,4,2,3,3,3,1,3,2,2
864,3,3,3,2,3,3,5,4,3,3,4,2,3,3,3,2,3,2,2
873,3,3,3,2,3,3,4,4,4,3,4,3,2,3,3,2,3,2,2
878,3,3,2,2,2,3,4,4,4,3,3,2,3,3,5,3,3,2,2
880,3,3,2,2,2,3,7,4,3,2,3,2,3,3,3,3,3,2,2
887,3,3,3,2,4,3,4,4,4,3,4,3,3,3,3,3,3,2,2
890,2,3,2,2,2,5,7,4,3,3,3,3,4,3,3,4,3,2,2
895,3,3,2,2,3,3,4,4,4,3,4,2,3,3,3,3,3,2,2
900,3,3,3,2,3,3,5,7,3,3,3,2,2,3,3,3,3,2,2
912,2,3,2,2,2,3,4,4,4,3,3,2,3,3,3,4,3,2,2
936,2,3,2,2,3,3,7,7,3,3,3,2,2,3,3,2,3,2,2
950,3,2,2,2,2,3,4,4,4,3,3,2,2,3,3,3,3,2,2
964,2,3,2,2,2,5,4,4,4,3,3,2,3,3,3,1,3,2,2
974,3,3,2,2,3,3,4,4,4,3,4,2,2,3,3,2,3,2,2
983,3,3,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2
1010,3,3,2,2,3,3,4,4,4,3,4,3,2,3,3,2,3,2,2
1036,3,3,3,2,3,4,4,4,5,3,5,2,2,3,3,2,3,2,2
1038,3,2,2,2,4,4,4,4,4,3,4,2,3,3,3,2,3,2,2
